join_key,metric_x,metric_y,correlation
1,cabin_staff_service,cabin_staff_service,1
1,food_and_beverages,food_and_beverages,1
1,ground_service,ground_service,1
1,inflight_entertainment,inflight_entertainment,1
1,seat_comfort,seat_comfort,1
1,wifi_and_connectivity,wifi_and_connectivity,1
1,value_for_money,value_for_money,1
1,cabin_staff_service,food_and_beverages,0.7171496173500468
1,cabin_staff_service,ground_service,0.5539408468031111
1,cabin_staff_service,inflight_entertainment,0.5711696374594843
1,cabin_staff_service,seat_comfort,0.6403936085051964
1,cabin_staff_service,wifi_and_connectivity,0.5399704689099138
1,cabin_staff_service,value_for_money,0.601271647097384
1,food_and_beverages,ground_service,0.6195303355812776
1,food_and_beverages,inflight_entertainment,0.6597926289026604
1,food_and_beverages,seat_comfort,0.6796932861017626
1,food_and_beverages,wifi_and_connectivity,0.6268345675566234
1,food_and_beverages,value_for_money,0.6921483256795363
1,ground_service,inflight_entertainment,0.5542011714303865
1,ground_service,seat_comfort,0.620768704527818
1,ground_service,wifi_and_connectivity,0.5559777905022149
1,ground_service,value_for_money,0.7647522220323923
1,inflight_entertainment,seat_comfort,0.6352771574188323
1,inflight_entertainment,wifi_and_connectivity,0.7627873801297771
1,inflight_entertainment,value_for_money,0.5971847292409618
1,seat_comfort,wifi_and_connectivity,0.6100695386770921
1,seat_comfort,value_for_money,0.6843463150112664
1,wifi_and_connectivity,value_for_money,0.605635168614078
1,food_and_beverages,cabin_staff_service,0.7171496173500468
1,ground_service,cabin_staff_service,0.5539408468031111
1,inflight_entertainment,cabin_staff_service,0.5711696374594843
1,seat_comfort,cabin_staff_service,0.6403936085051964
1,wifi_and_connectivity,cabin_staff_service,0.5399704689099138
1,value_for_money,cabin_staff_service,0.601271647097384
1,ground_service,food_and_beverages,0.6195303355812776
1,inflight_entertainment,food_and_beverages,0.6597926289026604
1,seat_comfort,food_and_beverages,0.6796932861017626
1,wifi_and_connectivity,food_and_beverages,0.6268345675566234
1,value_for_money,food_and_beverages,0.6921483256795363
1,inflight_entertainment,ground_service,0.5542011714303865
1,seat_comfort,ground_service,0.620768704527818
1,wifi_and_connectivity,ground_service,0.5559777905022149
1,value_for_money,ground_service,0.7647522220323923
1,seat_comfort,inflight_entertainment,0.6352771574188323
1,wifi_and_connectivity,inflight_entertainment,0.7627873801297771
1,value_for_money,inflight_entertainment,0.5971847292409618
1,wifi_and_connectivity,seat_comfort,0.6100695386770921
1,value_for_money,seat_comfort,0.6843463150112664
1,value_for_money,wifi_and_connectivity,0.605635168614078
